"DES","ORI","flow","DES_NAME","DES_Y","DES_X","ORI_NAME","ORI_Y","ORI_X"
13001,13001,3180,"Appling",31.74847232,-82.28909114,"Appling",31.74847232,-82.28909114
13001,13005,182,"Appling",31.74847232,-82.28909114,"Bacon",31.55456473,-82.45936528
13001,13031,107,"Appling",31.74847232,-82.28909114,"Bulloch",32.39577406,-81.74811421
13001,13069,118,"Appling",31.74847232,-82.28909114,"Coffee",31.54892966,-82.8549206
13001,13161,556,"Appling",31.74847232,-82.28909114,"Jeff Davis",31.80405727,-82.6372487
13001,13279,387,"Appling",31.74847232,-82.28909114,"Toombs",32.12059861,-82.32957247
13001,13299,109,"Appling",31.74847232,-82.28909114,"Ware",31.05449097,-82.42224148
13001,13305,222,"Appling",31.74847232,-82.28909114,"Wayne",31.5521809,-81.91894878
13003,13003,795,"Atkinson",31.29633502,-82.87545866,"Atkinson",31.29633502,-82.87545866
13003,13019,160,"Atkinson",31.29633502,-82.87545866,"Berrien",31.27590016,-83.2252992
13003,13069,423,"Atkinson",31.29633502,-82.87545866,"Coffee",31.54892966,-82.8549206
13005,13001,254,"Bacon",31.55456473,-82.45936528,"Appling",31.74847232,-82.28909114
13005,13005,1785,"Bacon",31.55456473,-82.45936528,"Bacon",31.55456473,-82.45936528
13005,13069,433,"Bacon",31.55456473,-82.45936528,"Coffee",31.54892966,-82.8549206
13005,13161,154,"Bacon",31.55456473,-82.45936528,"Jeff Davis",31.80405727,-82.6372487
13005,13229,156,"Bacon",31.55456473,-82.45936528,"Pierce",31.35928155,-82.21598442
13005,13299,193,"Bacon",31.55456473,-82.45936528,"Ware",31.05449097,-82.42224148
13007,13007,159,"Baker",31.32669878,-84.44218806,"Baker",31.32669878,-84.44218806
13009,13009,6317,"Baldwin",33.06882326,-83.24701748,"Baldwin",33.06882326,-83.24701748
13009,13021,514,"Baldwin",33.06882326,-83.24701748,"Bibb",32.80904227,-83.70489165
13009,13063,103,"Baldwin",33.06882326,-83.24701748,"Clayton",33.54187245,-84.35594188
13009,13067,150,"Baldwin",33.06882326,-83.24701748,"Cobb",33.94243204,-84.5761255
13009,13073,134,"Baldwin",33.06882326,-83.24701748,"Columbia",33.54534185,-82.263524
13009,13089,146,"Baldwin",33.06882326,-83.24701748,"DeKalb",33.76944049,-84.22396017
13009,13121,202,"Baldwin",33.06882326,-83.24701748,"Fulton",33.79216944,-84.46319413
13009,13135,206,"Baldwin",33.06882326,-83.24701748,"Gwinnett",33.96044201,-84.02137802
13009,13141,396,"Baldwin",33.06882326,-83.24701748,"Hancock",33.2721566,-82.99766919
13009,13151,144,"Baldwin",33.06882326,-83.24701748,"Henry",33.4533428,-84.1481466
13009,13153,518,"Baldwin",33.06882326,-83.24701748,"Houston",32.45802497,-83.66879087
13009,13169,563,"Baldwin",33.06882326,-83.24701748,"Jones",33.02512137,-83.56019163
13009,13175,219,"Baldwin",33.06882326,-83.24701748,"Laurens",32.46325233,-82.92221316
13009,13215,110,"Baldwin",33.06882326,-83.24701748,"Muscogee",32.50931999,-84.87142262
13009,13237,753,"Baldwin",33.06882326,-83.24701748,"Putnam",33.32056115,-83.37552891
13009,13245,227,"Baldwin",33.06882326,-83.24701748,"Richmond",33.35777107,-82.07026432
13009,13303,355,"Baldwin",33.06882326,-83.24701748,"Washington",32.96711864,-82.79357039
13009,13319,402,"Baldwin",33.06882326,-83.24701748,"Wilkinson",32.80291082,-83.17140684
13011,13011,904,"Banks",34.35607081,-83.49644388,"Banks",34.35607081,-83.49644388
13011,13059,115,"Banks",34.35607081,-83.49644388,"Clarke",33.95436462,-83.37124007
13011,13119,130,"Banks",34.35607081,-83.49644388,"Franklin",34.37525597,-83.23159927
13011,13135,159,"Banks",34.35607081,-83.49644388,"Gwinnett",33.96044201,-84.02137802
13011,13137,476,"Banks",34.35607081,-83.49644388,"Habersham",34.63331566,-83.53094677
13011,13139,387,"Banks",34.35607081,-83.49644388,"Hall",34.32207823,-83.81896936
